index	firstName	LastName	Birthday	Age	Gender	Height	MaxHeight	IQ	Education	Cash	Stamina	Job	Status	LifeSpan	Reproduction	SpouseName	Married	ChildrenNumber
0	isyqst	afw	1399076920876	44.43707	male	0	160	113	COLLEGE	1216296	100	IT	working	80.0	1	plpop	true	0
1	sjaylnamm	hdhxefg	1399076920877	44.43789	male	0	170	108	COLLEGE	1165617	100	farmer	working	79.0	2	dyoxsbz	true	0
2	dbechz	uyqmrf	1399076920877	44.43789	female	0	175	95	COLLEGE	1024842	100	farmer	working	57.0	3	none	false	0
3	ebhgrdt	ipvboabo	1399076920877	44.43789	female	0	173	99	COLLEGE	751080	100	cashier	working	53.0	2	pbak	true	3
4	kbtjyoxhi	ruimeqp	1399076920877	44.437782	female	0	169	109	COLLEGE	1189210	100	farmer	working	77.0	3	none	false	0
5	etfv	dyoxsbz	1399076920877	44.438	female	0	174	103	COLLEGE	785220	100	cashier	working	63.0	2	owchvn	true	3
6	trcqqfghe	plpop	1399076920877	44.438084	female	0	182	85	COLLEGE	642970	100	cashier	working	101.0	0	afw	true	1
7	bfy	cqmx	1399076920877	44.438137	male	0	172	119	COLLEGE	1297320	100	IT	working	66.0	1	twbahw	true	0
8	ciplpic	dqyqpm	1399076920877	44.438137	male	0	168	98	COLLEGE	557620	100	pan-handle	working	84.0	1	amzcy	true	0
9	wgdl	fzaqzwqj	1399076920877	44.438137	female	0	167	93	COLLEGE	1012820	100	farmer	working	72.0	0	kogfwa	true	1
10	lmns	ydkiphbh	1399076920877	44.438328	female	0	165	61	COLLEGE	347090	100	pan-handle	working	64.0	0	none	false	0
11	szh	keekhidxx	1399076920877	44.438385	female	0	186	109	COLLEGE	830740	100	cashier	working	100.0	1	ipgrpc	true	2
12	bhfpcj	mcmb	1399076920877	44.438137	female	0	176	100	COLLEGE	762460	100	cashier	working	74.0	2	tfaieixv	true	3
13	pnc	cgopzap	1399076920877	44.4383	female	0	179	111	COLLEGE	842120	100	cashier	working	51.0	2	usoukmsp	true	3
14	lbc	zmskfd	1399076920877	44.4383	female	0	167	91	COLLEGE	990060	100	farmer	working	75.0	2	pyechkgr	true	3
15	ouwyw	ddqt	1399076920878	44.438137	male	0	164	99	COLLEGE	563310	100	pan-handle	working	91.0	2	ldrpmadvz	true	0
16	oztkrv	uviq	1399076920878	44.438137	female	0	178	102	COLLEGE	1109550	100	farmer	working	97.0	1	none	false	0
17	jkhha	wiqnovwp	1399076920878	44.438137	male	0	171	88	COLLEGE	665730	100	cashier	working	86.0	4	tji	true	0
18	vqvd	hxkp	1399076920878	44.438026	male	0	186	87	COLLEGE	495030	100	pan-handle	working	53.0	1	kkkf	true	0
19	ukiuaxiw	beimty	1399076920878	44.438137	male	0	185	120	COLLEGE	1308700	100	IT	working	70.0	1	rgmagzt	true	0
20	rms	ygwxmixgj	1399076920878	44.43781	female	0	170	105	COLLEGE	597450	100	pan-handle	working	86.0	1	esktqre	true	2
